Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age Bucket
0,2,0,3,3,7.7664168980196555,15,3,2
0,2,2,3,2,8.074960359115858,18,0,0
0,3,0,1,2,7.097548850614793,6,3,2
1,2,1,1,1,7.088408778675395,6,1,1
0,2,1,1,0,7.592870287844818,18,2,2
0,2,0,2,2,7.8252452914317745,30,4,2
0,2,0,2,0,8.614501373883236,24,2,0
1,1,0,1,1,7.113142108707088,12,3,0
0,1,0,0,0,8.251142139090751,9,1,3
0,2,0,0,1,7.063903961472068,6,0,3
0,1,0,1,1,6.56244409369372,12,2,2
0,2,0,2,2,8.788745881938135,48,3,0
0,2,0,1,0,7.347299700743164,24,0,1
0,2,0,2,1,7.231287004327616,24,4,1
0,2,2,1,0,7.315218389752975,12,3,2
0,2,0,1,3,8.54714026778419,24,0,0
0,2,0,0,2,7.972121128921655,18,3,2
1,3,0,1,2,7.6324011266014535,24,2,1
0,2,0,1,1,7.659642954564682,12,3,1
0,3,0,1,0,7.785720896534624,9,2,1
1,2,2,4,0,8.066521490469993,15,3,0
0,2,0,1,1,8.85352256068954,48,0,1
0,2,2,0,0,7.234177179749849,15,0,2
0,2,0,1,0,6.42648845745769,12,0,2
0,3,0,0,0,8.830835365537549,24,3,2
0,3,0,1,2,8.40178233990491,36,4,1
0,1,0,1,1,9.392495248213038,30,6,1
0,3,0,0,0,9.099073559547596,36,3,1
1,2,0,0,0,7.780720886117918,36,0,0
0,3,2,1,2,9.14825217966276,36,3,1
0,2,0,1,1,8.837390855544697,36,1,1
1,0,0,1,0,6.51025834052315,6,3,2
1,2,0,0,2,7.923710333969238,12,2,0
0,2,2,0,0,8.665785595466064,12,2,2
1,2,0,1,0,7.7354333524996886,21,2,0
0,3,0,2,0,7.372118028337787,21,2,1
0,2,0,1,2,6.962243464266207,18,3,1
1,2,0,0,0,7.122866658599083,12,0,2
0,3,0,0,0,9.310547632393208,36,3,1
0,2,0,3,0,6.812345094177479,36,3,2
0,2,0,1,2,7.789454566086673,7,0,1
0,2,0,2,0,7.706612913964197,24,0,2
0,2,2,1,0,7.653494909661253,6,0,1
0,2,0,3,2,7.75190533307861,15,4,1
0,2,1,1,0,7.293697720601438,15,0,1
0,2,0,1,2,7.5678626054638825,24,4,1
1,2,1,3,0,8.579980179515003,15,3,1
0,0,0,4,3,6.5638555265321274,6,3,1
0,2,0,1,2,7.254177846456518,8,0,1
0,2,0,3,0,7.949797216161852,24,2,2
0,1,0,1,1,7.493873886783559,13,4,1
0,1,0,2,2,6.9440872082295275,12,4,2
1,1,0,1,2,8.691818541575723,42,4,2
1,2,0,1,0,8.401557847817314,36,0,1
0,2,0,1,1,8.02322468471667,48,5,2
1,2,0,1,0,7.1631723908466425,12,0,1
0,2,0,2,2,8.179199798423086,48,4,1
0,2,0,0,0,7.107425474110705,6,2,1
0,1,0,1,0,7.342131730584722,4,0,2
0,1,0,1,2,6.437751649736401,12,0,1
0,2,2,1,2,7.601901959875166,12,3,1
1,2,0,1,1,8.046549357283078,24,3,1
0,1,0,1,0,7.903965634032166,15,2,1
0,1,0,0,0,8.178919332848396,12,1,2
0,0,1,3,3,7.299797366758161,12,3,3
0,2,0,1,0,7.215239978730097,15,0,1
0,2,0,3,2,7.05444965813294,12,0,1
0,2,0,1,2,7.005789019253503,12,0,1
1,2,0,0,1,8.951699168308815,24,2,1
0,1,0,1,1,7.104144092987527,18,5,2
0,3,0,0,2,8.774622220696997,12,0,2
0,2,0,1,2,7.620214770574455,24,0,0
0,2,0,1,2,7.874358824729881,20,7,1
0,2,1,0,3,7.147559271189454,15,0,2
0,2,0,1,0,6.6895992691789665,12,0,2
0,2,0,0,0,7.634820677745543,10,2,1
0,2,0,0,0,8.887100204123687,48,0,1
1,1,0,1,3,8.022568946988255,18,2,2
1,2,2,2,2,7.875119281040293,15,3,1
1,2,2,2,2,8.14351740579748,30,2,0
0,2,0,1,0,7.7336835707759,24,0,1
1,2,2,1,1,6.955592608396297,18,2,0
0,2,0,1,1,8.335431477880796,24,2,1
0,3,0,1,2,8.693664334532016,27,3,1
0,3,0,2,2,8.83200393125627,15,3,1
0,1,0,1,1,7.215975002651466,6,3,2
1,2,0,1,0,7.504942068396171,18,2,1
0,2,0,4,0,7.570443252057374,24,3,2
0,1,0,1,0,7.115582126184454,10,3,1
1,2,2,1,0,7.348587530927593,6,0,0
0,3,0,3,0,6.444131256700441,18,0,1
0,2,0,1,0,7.298445101508147,15,0,1
0,2,2,1,1,9.377209824211215,45,4,1
0,2,0,2,1,7.0925737159746784,6,3,2
0,2,0,1,2,7.853993087224244,7,0,1
1,3,1,1,2,9.439784035838873,24,3,2
0,2,0,0,0,8.935377071932177,30,3,3
1,2,0,4,0,6.866933284461882,15,2,1
0,2,0,0,2,8.288785810426928,48,0,2
0,2,0,1,0,7.629489916393995,24,6,1
1,2,2,1,1,8.202482446576537,18,2,0
1,1,0,1,1,7.470224135899966,24,7,2
0,2,0,0,2,7.337587743538596,15,0,2
1,2,0,1,0,7.30854279753919,12,0,1
0,3,1,0,2,9.4066470133368,48,3,2
1,1,0,1,1,9.280052984387483,47,3,1
0,2,1,0,2,7.122059881629142,18,1,3
0,2,1,3,0,6.588926477533519,10,1,2
0,2,2,1,1,8.270013062273787,11,3,2
1,2,0,1,0,8.436200032206706,6,2,1
1,2,0,1,2,7.356918242356021,12,0,0
0,1,0,0,1,7.4067107301776405,21,3,2
0,2,0,1,1,8.144969417087875,36,2,2
0,2,1,0,0,9.135293497653272,24,3,2
0,3,0,0,2,9.40951904583656,48,4,2
0,2,0,0,0,7.999007213243955,24,4,1
1,3,2,0,0,8.600246746551523,24,3,1
0,2,0,2,2,7.322510433997394,15,6,0
0,3,0,2,2,8.997889450200717,36,3,2
0,2,1,1,1,7.195187320178709,24,3,2
1,2,2,1,0,7.23561914106675,9,2,1
1,2,2,1,0,7.590852123688581,9,2,0
0,2,0,1,1,7.854381210652365,12,2,2
0,3,0,1,0,8.750524669117937,24,7,1
0,2,0,3,0,7.640123172695364,6,3,0
1,2,2,1,1,7.620214770574455,18,2,0
1,2,0,0,0,6.773080375655535,15,5,0
1,2,0,1,1,7.579167967396076,6,0,1
0,3,1,1,2,8.896724917497897,10,3,3
0,2,0,1,3,7.562681246721884,24,2,1
1,1,0,1,2,7.2115567333138015,24,3,0
1,2,0,1,1,6.678342114654332,12,1,2
0,2,0,1,3,8.012018239159062,30,0,2
1,2,2,1,1,8.947025655972697,48,4,2
0,3,0,1,0,7.73718007783463,12,4,2
0,3,0,0,1,7.589335823170617,36,1,2
1,2,0,1,0,8.96890555068972,36,3,0
0,2,0,1,0,7.928406026180535,18,3,1
0,2,0,1,2,7.763446388727362,21,3,2
0,3,0,1,0,7.506591780070841,18,3,1
0,2,2,0,0,7.801800401908973,12,3,1
0,2,0,3,1,7.426549072397305,12,0,1
1,2,2,0,1,9.044403844431551,18,1,0
0,2,0,1,2,8.982937763741589,26,3,1
0,2,1,1,1,8.12740456269308,12,3,1
0,2,0,3,3,6.844815479208263,12,3,1
1,1,0,0,0,6.680854678790215,12,0,1
0,1,0,1,1,7.465655310134056,24,2,0
0,2,0,1,1,7.010311867307229,12,6,1
1,1,0,1,2,7.650168700845001,13,0,0
0,3,1,1,1,8.791638037085997,24,3,1
0,3,0,3,0,9.453208116138121,48,0,2
0,2,0,3,0,6.257667587882639,12,0,2
0,2,0,3,1,7.947325027016463,24,2,0
1,1,2,1,2,7.907651594711089,24,3,0
1,1,1,2,3,7.122866658599083,10,3,2
0,2,0,4,2,7.183870715062453,12,3,2
1,2,2,1,1,8.36822903827628,48,4,0
1,3,1,1,1,7.8547691834991324,12,2,2
0,2,0,2,0,7.1785454837637,24,0,1
0,2,2,2,1,8.73020559553099,30,3,0
0,1,0,1,2,8.73294952429643,18,6,2
0,2,0,1,2,6.97354301952014,6,0,1
1,2,0,4,2,7.3632795869630385,11,2,0
0,2,0,1,0,7.368339686311381,24,2,2
0,3,1,1,1,7.570443252057374,18,0,2
0,1,0,1,2,8.352554369474591,24,4,2
0,0,0,1,3,7.1693500166706,6,3,3
0,1,2,2,0,7.292337176173877,24,3,2
0,2,0,1,0,7.916807490937603,28,0,1
0,3,2,1,0,7.5822291942764615,12,0,1
1,3,0,1,2,8.536211197252,48,2,1
0,1,0,1,1,7.8551570058813445,12,3,1
1,2,0,3,0,8.946114375560743,36,2,2
0,2,0,0,2,7.687538766201629,30,3,2
1,2,0,1,0,7.338238150065589,6,1,2
0,2,0,3,1,5.823045895483019,6,0,2
0,2,2,2,2,9.372459221452617,39,1,1
1,1,0,1,2,8.462948176563842,24,2,0
0,2,1,1,3,7.969703583278656,24,2,2
0,2,2,1,0,7.461640392208575,6,0,1
0,1,0,2,2,9.19593714166544,36,4,1
0,2,0,1,3,7.1929342212158,12,3,1
0,1,0,0,3,8.204124932574041,30,0,2
1,1,0,1,1,6.883462586413092,18,3,0
0,2,1,1,1,7.67275789664251,12,0,1
0,3,1,1,1,8.95712413640568,48,3,2
0,3,2,1,1,8.126813720726114,6,2,2
1,1,0,2,1,7.156176637480615,24,0,1
1,2,0,1,0,6.93537044601511,18,3,2
0,2,0,1,0,7.239214973779806,24,3,1
0,2,0,1,0,6.561030665896573,12,0,1
0,2,0,1,1,6.3473892096560105,21,3,3
0,2,0,1,1,9.015419779605713,36,3,1
0,1,2,1,1,7.714677473800927,10,3,2
0,2,0,0,0,7.754052639035757,12,0,2
0,2,0,4,2,8.159374736775426,30,2,1
0,2,0,1,0,7.682021510826875,18,4,1
1,2,1,1,2,8.655737000864297,24,1,0
0,3,0,1,2,9.3350328159335,24,7,1
0,1,0,3,0,7.4673710669175595,6,0,2
1,2,0,0,2,8.533853632309345,24,0,2
0,2,2,1,1,6.804614520062624,12,1,0
1,2,0,1,1,8.205218426395412,24,0,1
0,2,2,0,3,8.193400231952097,24,2,0
0,2,0,1,1,8.17526610411206,24,2,1
0,2,1,1,0,7.506042178518122,36,1,2
0,2,0,0,0,8.272315147956022,48,4,2
0,2,0,2,2,8.263074835802596,24,3,2
0,2,0,1,0,8.137980454452139,18,2,2
0,2,0,1,1,7.666690200080086,9,2,0
1,2,2,4,2,8.956479847999912,24,3,1
0,3,1,1,1,7.330405211844402,12,3,3
0,2,0,1,2,8.764521909518802,24,0,1
1,2,0,1,1,7.518607216815252,36,3,1
0,2,0,2,1,6.513230110912307,12,0,0
1,2,2,3,0,7.2456550675945355,12,2,2
0,0,0,0,2,9.585689856179723,6,3,0
1,2,1,1,0,8.231376045573969,24,3,3
1,2,2,0,1,7.664815785285735,10,2,1
0,1,0,1,0,7.282761179605593,4,3,2
0,2,2,1,3,7.8961806086154915,15,4,1
0,2,0,1,1,7.379008127628304,21,3,1
1,2,2,0,2,7.583247524303362,24,3,2
0,1,0,1,1,6.55250788703459,12,0,2
1,3,0,0,1,8.878218658092228,42,0,1
0,3,0,0,0,7.121252453244542,6,1,2
0,1,0,0,1,8.458716261657262,6,3,2
1,2,0,1,0,9.165970424240243,36,0,1
0,1,0,4,0,8.417593826193484,27,2,1
1,2,0,0,2,8.003363058629947,30,0,0
1,2,2,1,2,8.006700845440367,18,2,2
0,3,0,1,1,9.102532419341877,14,3,2
0,2,0,3,0,7.740229524763182,36,0,2
0,2,1,4,2,7.035268599281097,9,1,1
1,3,0,1,2,7.313886831633462,9,1,1
0,2,0,2,2,8.428580533059634,45,3,1
1,1,0,1,3,7.752335163302292,15,0,0
1,3,2,1,2,9.355306142226368,24,3,0
1,1,1,1,0,7.91862865334224,12,1,2
0,1,0,1,0,6.577861357721047,12,1,2
1,3,2,1,0,8.41847721847708,30,0,1
0,2,1,3,0,9.222960403332285,48,3,2
1,1,2,1,1,8.188411308079031,21,2,1
0,1,0,3,2,7.832014180505469,27,0,0
0,2,0,4,0,7.366445148327599,18,0,2
1,2,2,0,2,7.562161631225652,18,2,1
0,2,0,3,0,7.891704659330107,22,0,2
0,1,0,0,2,7.75491027202143,24,2,1
0,2,2,1,1,8.73214326770192,12,0,1
0,2,1,1,1,9.239607869656751,48,3,2
0,3,0,1,1,8.13622555490846,27,0,1
0,2,2,2,2,8.036573409707312,24,0,0
1,1,0,4,0,7.323830566202317,24,0,2
0,2,0,0,0,7.590346945602565,15,0,1
0,3,0,1,2,8.354438940114811,30,3,1
0,2,0,3,0,8.140315540159985,24,0,1
1,0,2,1,2,7.48324441607385,15,3,1
1,2,0,1,2,7.080026499922591,21,4,2
0,3,1,1,2,9.135940049399933,42,3,2
0,2,0,1,1,6.959398512133975,15,0,1
1,2,0,1,2,8.192016914536875,18,2,2
0,2,0,1,2,8.20303024171486,21,4,1
0,2,0,1,3,7.110696122978827,10,5,2
1,3,0,0,0,8.920656296853728,30,3,2
0,2,0,1,0,7.1372784372603855,24,4,0
0,2,1,0,1,9.028218795184895,36,3,2
1,2,0,1,0,8.19118600464279,48,4,1
0,2,1,4,0,7.349230824613334,12,6,2
1,2,0,1,1,8.28374674710613,15,3,1
0,3,2,2,2,8.848939995030118,24,4,2
0,3,1,2,2,8.93353229607628,48,7,1
1,1,1,1,2,7.515889085215125,24,1,1
1,2,0,1,1,8.818482267274236,48,0,1
0,2,0,3,1,7.817222785508166,24,2,0
0,2,0,0,1,8.996156562033445,30,4,0
0,2,0,1,2,6.459904454377535,12,6,1
0,3,1,1,1,7.975908360165538,24,3,1
0,1,0,0,2,8.911664758049536,60,0,1
0,2,0,0,0,9.232297539328226,48,0,2
0,1,0,1,2,6.118097198041348,6,6,0
0,3,0,4,0,8.431853144249223,24,4,2
0,2,0,0,0,8.182559264068665,48,0,2
0,3,1,0,2,9.122273893107732,60,0,1
0,3,0,1,0,8.417593826193484,24,4,3
0,2,0,1,0,9.166597449028265,36,4,1
1,2,0,1,2,8.24380842366528,36,0,2
0,2,0,1,1,6.53813982376767,12,3,1
0,3,0,0,0,7.814399633804487,21,3,2
1,1,0,3,2,6.672032945461067,9,0,3
0,2,1,0,0,8.783702698635217,60,3,1
0,2,2,2,2,7.142036574706803,15,3,0
1,2,2,1,0,8.871645667501872,36,2,0
0,1,0,1,0,7.614805364711073,24,2,1
1,3,0,1,0,7.239214973779806,11,3,1
1,1,0,0,2,8.069342366811636,9,3,1
0,1,0,1,1,5.82600010738045,12,1,2
0,2,0,0,0,8.304494897963567,24,3,2
1,2,0,1,0,6.637258031284457,12,2,1
0,2,0,0,0,7.793174347189205,24,0,2
0,3,1,1,0,8.452334619067742,36,3,1
0,1,0,1,0,8.885717651712119,11,3,2
0,1,0,1,0,8.9082888855571,24,3,2
0,3,0,0,0,8.168202930236053,12,3,2
1,2,0,1,1,6.411818267709897,6,3,2
1,2,2,3,2,8.321907968230423,24,3,1
1,1,0,1,2,8.181160858023409,12,0,0
0,2,0,0,0,7.326465613840322,15,2,3
0,2,0,0,3,8.054522609537294,24,0,1
0,2,0,1,0,8.187299270155147,36,0,1
0,2,0,1,0,7.868254265520613,36,6,1
0,1,0,1,0,6.054439346269371,6,0,2
1,2,0,1,1,7.545918151209323,12,3,1
1,2,0,4,0,7.160069207596127,24,3,2
0,2,0,1,1,7.6708948313621175,36,4,0
0,0,0,1,1,7.813187267521416,18,2,0
0,2,1,1,1,8.054840221101024,24,2,0
0,2,0,1,3,7.649692623711514,18,0,2
1,2,0,0,2,7.44716835960004,30,0,1
1,3,1,2,2,9.601165503344832,60,7,2
0,1,0,1,0,8.450839690866216,24,3,1
1,3,2,1,0,8.1797604936999,15,0,2
0,2,2,1,1,7.711996507047669,20,3,1
1,2,0,1,2,7.8351837552667485,27,4,1
0,1,0,1,0,8.0040315078527,21,3,1
0,2,2,2,2,8.016647877057803,45,0,0
0,2,0,1,0,9.294221855956884,36,3,2
0,1,2,1,0,7.700747794511798,10,2,0
0,2,0,2,2,7.103322062526113,24,0,2
0,1,0,1,1,8.278682162970906,11,3,2
0,2,0,3,0,7.772752716468742,24,4,2
0,1,0,1,0,6.842683282238422,24,1,1
0,2,2,0,0,8.8771028978649,42,0,1
0,2,0,3,0,7.140453043101158,15,5,2
1,1,0,1,0,8.187021067343505,15,3,2
0,2,0,1,3,8.673855001429615,36,0,0
1,1,2,1,2,7.492760300922379,18,0,2
0,3,0,1,1,8.28374674710613,36,2,1
1,2,2,0,1,7.158513997329321,24,3,1
1,2,2,1,3,5.971261839790462,15,1,0
0,2,0,4,2,9.302098797215724,48,0,1
0,2,0,2,0,7.920446505142607,9,0,1
0,2,2,1,2,7.5595594960077,9,2,1
0,2,0,0,2,7.614805364711073,12,3,1
1,2,0,0,2,6.948897222313312,18,3,1
1,2,0,1,1,6.059123195581797,6,2,2
0,2,2,1,1,7.937017489515454,9,3,2
0,2,0,1,2,8.503702601233739,39,0,0
0,3,0,1,0,9.246286498749653,60,3,2
0,3,0,3,2,7.768956044538332,12,3,2
0,2,0,0,0,8.125039097367745,18,3,1
0,2,0,1,0,7.562161631225652,10,0,2
0,1,0,1,0,6.687108607866515,14,3,1
1,2,0,3,2,9.03097444300786,48,3,1
0,2,0,1,2,7.261225091971921,12,5,1
1,2,0,1,2,8.347827345782498,30,4,1
0,2,0,1,0,7.351799869057777,24,4,2
0,1,0,1,1,7.7025561132685825,12,0,0
0,1,0,4,0,8.025843344150903,12,0,3
0,2,0,0,0,6.835184586147301,12,0,3
0,2,1,1,0,8.71768205216564,48,1,1
0,2,0,1,0,7.922623574217286,12,2,1
0,1,0,1,2,7.561121589530238,12,2,2
0,2,0,2,0,8.33110454805304,24,2,1
0,2,0,1,1,6.945051063725834,10,3,2
1,2,2,1,1,7.828436359157585,15,3,0
0,2,0,1,0,8.691818541575723,30,0,2
1,2,2,1,1,7.527255919373784,12,2,0
1,1,0,1,2,6.633318433280377,8,0,2
0,2,0,1,0,7.511524648390866,15,0,2
0,3,1,1,1,8.57583938684897,18,3,2
1,2,0,2,1,6.608000625296087,12,5,0
0,1,0,0,0,7.160069207596127,10,3,2
1,2,0,0,1,7.2305631534092925,24,3,1
0,2,1,2,0,7.204892510204673,6,0,2
0,2,1,1,2,8.736168065858228,48,1,2
1,0,0,1,1,6.620073206530356,18,1,1
0,2,2,0,0,8.964951211714654,28,3,2
1,2,0,0,0,6.903747257584598,12,6,0
0,2,0,0,2,7.946263643580541,24,4,1
0,1,2,2,0,7.257002707092073,10,3,1
1,2,0,2,0,6.525029657843462,12,3,2
1,2,0,1,1,6.756932389247553,6,3,2
0,3,0,1,3,7.198183577101943,9,0,1
1,2,0,1,2,7.4205789054108005,9,0,0
1,1,2,2,2,8.361708288575842,30,4,1
0,2,0,1,2,8.757940876678804,18,2,2
0,1,0,2,0,7.463363045520021,6,4,1
0,2,0,0,2,6.625392368007956,12,1,2
0,1,0,1,1,8.130942302231878,8,3,2
1,3,1,1,2,8.542665987389269,9,3,3
0,2,1,1,3,6.660575149839686,10,3,3
0,1,1,1,1,7.273786317844895,18,3,1
0,2,0,1,0,7.62608275807238,18,0,1
0,2,0,1,1,7.808729306744399,18,2,0
0,1,0,1,1,8.295548516225763,28,3,2
1,2,2,2,2,6.85751406254539,12,2,1
0,2,1,0,0,7.170119543449628,15,3,2
0,3,2,2,0,7.550135342488429,24,0,1
0,2,1,1,3,8.475537516147405,42,3,2
0,2,0,1,0,7.29505641646263,18,0,2
0,1,2,1,0,7.477604243197589,12,2,0
0,2,0,4,0,8.236685322712457,24,2,2
0,2,0,1,0,8.540323608805092,27,4,1
0,0,0,1,1,8.129764445794171,42,6,3
0,2,0,1,0,6.57507584059962,12,0,2
0,2,0,1,0,8.672828482947686,36,3,1
0,2,0,1,0,7.1098794630722715,9,3,1
0,1,0,1,2,7.051855622955894,12,0,2
0,1,0,0,1,8.232971790593437,21,3,0
0,2,0,1,1,6.9865664594064265,12,3,2
0,2,0,1,2,9.659630959624376,48,4,0
1,2,0,1,1,8.160232492367689,12,3,1
0,2,0,1,0,9.658417870888224,60,0,0
0,2,0,1,0,9.065083359319043,24,4,1
0,3,0,0,2,8.774622220696997,20,3,2
1,2,2,0,1,7.941651252930556,24,3,1
1,0,0,0,2,8.29154650988391,36,5,1
0,2,0,4,0,7.669495251007694,11,4,1
1,2,0,1,0,7.218176838403408,10,3,3
0,1,0,1,2,7.176254532017144,15,6,2
1,3,0,1,2,9.82140944150052,48,7,1
1,1,2,2,2,6.734591659972948,12,4,0
0,1,0,1,2,6.380122536899765,6,0,1
0,3,2,1,1,8.11522197256233,24,2,2
0,2,1,1,1,7.8632667240095735,18,0,3
0,1,0,1,1,8.185907481482324,12,2,1
1,2,0,0,0,8.52615293278771,15,3,2
1,2,2,0,0,7.026426808699636,18,0,0
1,0,2,1,1,7.084226422097916,24,3,1
0,3,0,2,0,9.058121158998672,39,3,2
1,2,0,1,0,7.334981878871814,24,0,2
0,2,0,1,1,7.20414929203594,18,0,1
1,2,0,1,1,7.3901814282264295,12,2,1
0,3,2,2,2,9.108750516214549,36,2,1
0,1,2,1,2,8.741935464094144,18,3,1
1,1,0,2,2,7.875119281040293,15,6,0
0,2,0,2,0,7.669028288589683,12,0,1
1,2,2,1,1,6.480044561926653,12,2,0
1,2,1,2,2,7.890208213109961,36,0,2
0,2,0,2,0,8.655562860681009,36,4,1
0,3,1,0,0,9.529230371552156,60,3,3
0,3,2,1,0,8.485496104672983,48,4,1
1,2,0,1,0,7.57198844937744,18,6,0
0,1,0,1,2,6.763884908562435,18,0,0
0,1,0,4,2,7.57095858316901,18,4,1
0,2,0,1,0,8.546751993657782,24,2,1
1,1,0,0,2,8.37816098272068,24,2,2
0,2,1,1,3,6.853299093186078,24,3,2
1,2,0,1,2,7.584264818389059,24,0,0
1,1,2,0,0,7.689828668736484,15,2,1
0,1,0,1,2,7.658227526161352,9,0,2
0,2,0,1,0,6.654152520183219,12,0,1
1,2,0,2,0,8.245909264774093,15,3,0
0,3,0,0,1,9.559517275737559,39,2,1
0,2,0,2,2,7.270312886079025,9,3,1
0,2,0,0,2,7.275172319452771,15,0,0
0,1,0,0,3,7.275864600546533,18,0,2
0,2,0,1,0,7.749322464660356,18,0,1
0,1,0,2,0,8.35983738064003,30,4,1
0,2,0,1,0,8.446126742982377,15,3,1
1,3,0,1,0,9.30328411761892,36,2,1
0,2,1,1,1,8.27664912542186,48,3,2
0,1,0,1,1,6.483107351457199,9,3,1
1,0,2,3,2,8.231642179973411,24,0,0
0,1,0,0,0,7.1770187659099,10,3,1
0,2,0,1,1,8.382518288089635,42,0,1
1,2,0,2,0,7.25063551189868,13,0,3
0,2,0,0,0,7.532088143541722,30,0,2
0,3,2,1,1,7.009408932708637,12,0,0
0,1,0,1,0,6.461468176353717,12,3,2
0,2,0,2,0,7.295735072749282,24,3,1
0,2,0,0,0,6.883462586413092,12,0,1
0,2,2,0,0,8.984693690443855,36,4,1
0,2,2,0,0,8.818926087090677,18,3,3
1,2,0,2,2,7.731053144007127,18,3,1
0,1,0,1,2,7.050989447068045,9,0,2
1,2,0,0,0,7.563719668414366,24,1,1
1,2,2,2,0,7.741099090035366,9,2,0
1,3,0,1,0,7.252762418053187,12,4,1
0,2,1,1,1,8.434897948689407,48,3,0
0,2,0,1,0,7.495541943884256,18,0,0
0,1,0,0,0,7.5485559791698735,6,0,1
1,1,0,1,2,7.014814351275545,18,0,1
0,1,0,1,2,8.465057436995709,45,0,0
0,2,2,1,2,7.335633981927201,12,0,0
0,2,2,1,1,6.856461984594587,15,3,1
0,2,0,1,0,7.76046702921342,24,3,1
0,3,0,1,1,7.80057265467065,27,4,2
0,2,1,1,0,8.114623886420098,15,2,1
0,2,0,1,0,7.130098510125578,24,3,1
1,2,2,1,1,7.520234556474628,15,2,2
1,2,2,4,0,7.864419904994565,24,3,1
0,2,2,1,2,9.676900579444158,54,4,2
0,2,1,0,2,9.424564261115739,36,3,2
1,2,0,0,1,6.818924065275521,24,3,1
0,2,0,0,0,8.058327306580958,21,0,2
0,1,0,1,2,6.9865664594064265,9,0,1
0,2,0,1,1,6.882437470997847,15,2,0
0,2,0,1,1,8.194229304819817,36,2,2
0,2,0,2,2,7.598399329323964,12,3,1
0,3,0,1,0,8.796943893541737,36,3,1
0,2,0,1,0,7.5678626054638825,12,2,2
